Date,Yslow_Grade,PageSpeed_Grade,Onload_Times,Total_Size_bytes,Total_Requests,TTFB_ms,HTML_Size_bytes,Redirect_duration_ms,Connection_duration_ms,Backend_duration_ms,DOM_interactive_ms,DOM_content_loaded_ms,DOM_content_loaded_duration_ms,Onload_ms,Onload_duration_ms,Fully_loaded_ms,First_paint_ms,RUM_Speed_Index,First_contentful_paint_ms,Total_Visits,Mobile_Device,Desktop_Device,Monthly_Visits,Avg_Visit_Duration,Pages_Per_Visit,Bounce_Rate,URL,type_website
20-07-2019,56,53,4.278,1723677,190,292,21381,129,11,152,1347,1347,40,4278,12,7307,724,724,724,134,38.88,61.12,2.399,2.01,2.88,69.9,biblia.com,1
28-06-2019,85,96,1.25,4385406,28,492,11284,195,169,128,611,611,0,1250,0,16255,611,829,861,111,48.18,51.82,703050,4.32,5.16,45.05,billiongraves.com,1
28-06-2019,47,16,4.246,3031884,918,714,18253,352,14,348,2256,2262,41,4246,1,9979,1815,1922,1815,138,35.79,64.21,2.821,3.14,2.06,61.09,bizpacreview.com,1
28-06-2019,56,63,2.08,1956351,123,702,8272,376,245,81,1298,1298,24,2080,15,3117,1041,1150,1041,125,73.11,26.89,1.862,2.17,3.92,41.02,brandsoftheworld.com,1
28-06-2019,56,60,5.918,1573084,112,826,7224,609,143,74,1361,1612,64,5918,1,7363,1242,1283,1242,128,45.67,54.33,2.121,0.42,1.38,83.38,calendar-365.com,1
20-07-2019,71,82,1.215,1249412,38,468,12525,0,392,76,509,509,0,1215,1,1651,829,927,951,94,44,16.03,2019,5.12,46.47,2019,carsense.com,1
28-06-2019,79,75,3.457,814632,73,2390,8907,40,25,2325,3096,3096,0,3457,2,5459,3137,3229,3137,141,19.62,80.38,311065,2.07,2.45,53.49,cdispatch.com,1
18-06-2019,90,85,1.389,707303,32,371,11851,204,46,121,596,1316,27,1389,4,1525,608,608,608,110,68.96,31.04,47.91,18.07,9.32,22.4,chess.com,1
28-06-2019,37,0,74.994,21332396,506,1064,42963,414,178,472,5713,5713,199,74994,20,75319,2550,2998,2550,117,33,67,971033,3.56,2.48,65.67,chronofhorse.com,1
25-06-2019,78,76,1.607,1118180,72,881,27034,443,141,297,1388,1388,67,1607,0,3826,1092,1181,1092,123,78.48,21.52,13.63,1.59,1.7,76.59,codeproject.com,1
28-06-2019,50,47,5.782,2002850,242,1166,19574,386,404,376,2592,2592,0,5782,3,6751,1971,1981,3251,119,39.47,60.53,1.177,2.17,3.13,72.88,complaintsboard.com,1
28-06-2019,68,69,1.444,1326780,103,110,8191,42,30,38,867,867,28,1444,16,2306,760,771,760,115,63.01,36.99,943172,1.26,1.52,80.92,constitutioncenter.org,1
28-06-2019,62,76,2.639,1858013,90,765,24567,21,30,714,1363,1363,56,2639,52,3123,1137,1137,1137,127,40.88,59.12,2.089,1.22,1.6,71.51,consumersadvocate.org,1
