domain,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
samhsa.gov,1086828,1808025,933643,1.6635797016639247,73.73044492780826,1080119
poboxes.usps.com,1077883,1712984,415946,1.589211445026965,58.17944990318986,1043221
donotcall.gov,1043221,4528450,824066,4.340834779974713,113.18966642734378,1044339
auth.nih.gov,1039866,2784158,383521,2.677419975266044,67.19141023939623,1056638
ice.gov,1028685,1850515,720079,1.7989131755590875,132.63367405960037,950415
solarsystem.nasa.gov,1010795,2614201,772632,2.5862820848935737,140.81964295430825,1026449
fmcsa.dot.gov,998495,2871372,607148,2.87569992839223,229.1288178708957,917989
navy.mil,991786,2172538,668645,2.1905310218131735,109.82303843772749,981723
mx.usembassy.gov,989550,2892617,656346,2.9231640644737507,247.15595270577535,972778
wpc.ncep.noaa.gov,989550,2542641,424892,2.5694921934212522,161.37854479308777,976132
search.uscis.gov,985078,1311573,451727,1.3314407590058859,44.15434919874365,941470
cpsc.gov,969424,1667140,726788,1.7197222268068462,81.18797450857416,969424
nia.nih.gov,959360,1278029,876618,1.3321683205470314,72.73313146264177,948179
my.uspto.gov,943707,2249689,178902,2.383885040589929,233.97973841457147,1010795
energystar.gov,941470,1274675,449491,1.3539199337206709,38.28742073565807,938116
treasurydirect.gov,916871,3143079,659700,3.4280493111899055,244.85372860522364,916871
ods.od.nih.gov,909044,1253430,803940,1.3788441483580554,101.8056925737368,901217
nih.gov,891154,1374189,683181,1.5420331390534072,118.94355745471601,891154
emailus.usps.com,888918,1113663,565777,1.252829844822582,93.1056464150799,797231
nces.ed.gov,869910,4385328,626156,5.041128392592337,270.03071237254426,878855
benefits.gov,854256,1177397,680945,1.378271852934015,73.81017985240958,858728
spotthestation.nasa.gov,854256,1974628,401411,2.311517858815156,92.43059223464628,856492
www2.ed.gov,853138,1690621,680945,1.9816500964673944,120.77057521760841,821830
eeoc.gov,843074,1706275,562422,2.023873349195919,160.23480619732075,844192
oceanservice.noaa.gov,826302,1006322,744678,1.2178622343888796,49.780801692359454,830775
msc.fema.gov,822948,4605601,373457,5.596466605423429,3368.33911863204,872146
nrcs.usda.gov,810648,1499420,291833,1.84965607760705,260.69529191461646,775986
exclusions.oig.hhs.gov,806176,4394273,215800,5.450761372206565,403.3910374409558,901217
ready.gov,805058,1213177,679826,1.5069435990947235,71.92913926698449,805058
star.nesdis.noaa.gov,798349,5004775,323141,6.268906205180942,1337.771505945395,797231
fsis.usda.gov,782695,1290329,407001,1.6485719213742263,137.03285315480488,791640
dailymed.nlm.nih.gov,761450,1683912,545650,2.2114544618819356,127.75043404031781,768159
uscourts.gov,761450,2542641,578076,3.339209403112483,160.60654540678968,771514
search.cdc.gov,751387,1043221,468499,1.3883937305276774,42.86161724916721,711134
marines.mil,749151,1844924,376812,2.462686427702826,182.47908232118758,729024
search.ssa.gov,748033,1682794,533351,2.249625350753242,91.99997192637223,665291
nsf.gov,742442,1971273,462908,2.6551205346680278,162.00905659970746,750269
espanol.cdc.gov,740206,1153916,573604,1.5589119785573204,108.0890981699689,746915
smclinician.myhealth.va.gov,730143,10901823,89451,14.931079254337849,853.6825361607247,731261
climate.nasa.gov,726788,1215413,583667,1.6723074679273735,117.62310880201655,726788
portal.uspto.gov,721198,26947070,535587,37.364316040809875,668.3468395641696,811767
pe.usps.com,716725,2089796,736851,2.9157570895392237,129.758186194147,721198
nist.gov,695480,1642541,525524,2.3617372174613216,120.59813941450508,677590
tidesandcurrents.noaa.gov,689890,1544145,330968,2.2382481265129224,121.81518502949746,694362
export.gov,680945,1112545,552359,1.6338250519498638,117.98351555558818,675354
jpl.nasa.gov,673118,1312691,575840,1.9501647556594832,119.23748584943502,682063
ace.cbp.dhs.gov,669763,887800,102868,1.32554351315316,89.28551293517259,669763
redelivery.usps.com,667527,1040984,524406,1.5594635123373286,139.0100505297913,650755
login.usajobs.gov,656346,2335785,952652,3.5587708312384017,391.43760912689345,1406615
defensetravel.dod.mil,627274,1133790,393584,1.8074876369816062,113.37257083826206,625038
pay.gov,619447,9126223,405883,14.732855272525333,1482.9426440034417,619447
regulations.gov,616093,916871,273943,1.4882022681640596,204.38104636799963,563540
f1.weather.gov,613856,898981,148712,1.4644818980347183,99.28423278423604,616093
choosemyplate.gov,612738,2274288,488625,3.7116810121128445,169.35776302432689,612738
floodsmart.gov,607148,805058,390229,1.32596665063543,48.14362066580142,600439
data.bls.gov,602675,1181869,332086,1.96103870245157,81.93137263035632,593730
jp.usembassy.gov,600439,1028685,436073,1.7132214929409981,133.0036939639164,578076
af.mil,585903,1133790,447254,1.9351155396029718,86.31299208230713,547886
gateway.usps.com,582549,1377543,130822,2.364681769258895,149.54118709327454,569131
usaid.gov,582549,1435686,421537,2.4644896824129816,151.17458445555653,581431
gsaadvantage.gov,574722,6621600,171075,11.521396431666092,664.4646820549762,574722
nvd.nist.gov,573604,1651486,309724,2.879139615483853,247.72497576725405,568013
li-public.fmcsa.dot.gov,561304,8057286,202383,14.354585037697932,733.8228589142426,611620
gsaauctions.gov,550123,5980908,239281,10.871946819165895,336.91245230612066,545650
evus.gov,547886,1436804,266116,2.6224506557933585,505.1963656673104,547886
medicaid.gov,544532,1062229,464026,1.9507191496551166,101.82342268222988,543414
infosida.nih.gov,543414,737970,471853,1.3580253729200942,66.81892258940697,538941
earthobservatory.nasa.gov,541178,906808,452845,1.6756187428165963,46.43178954059478,552359
spaceplace.nasa.gov,537823,1004086,418183,1.8669450730072905,113.36803929917464,483035
training.fema.gov,534469,1888531,301897,3.533471539041553,302.84092435669794,537823
doi.gov,528878,777104,385757,1.46934453692534,70.28543633881537,527760
transportation.gov,528878,959360,441664,1.8139533124841647,83.75689856639906,525524
tsdr.uspto.gov,525524,1639187,159893,3.119147745868885,496.1891464519223,606030
time.gov,518815,594848,232572,1.1465512755028286,47.741376020354075,517697
health.gov,517697,729024,450609,1.408205958311522,50.060458144435835,516579
fhwa.dot.gov,509870,1264611,304133,2.480261635318807,126.99119579500658,507634
es.usps.com,499807,627274,279534,1.2550324425228139,42.16104416304694,506515
aphis.usda.gov,495334,1426741,334323,2.8803615338337365,169.98649396165013,498689
fisheries.noaa.gov,495334,3114008,311960,6.286683328824591,640.2619908990702,494216
earthexplorer.usgs.gov,486389,967187,154303,1.9885050854357316,168.19311086393813,508752
dod.defense.gov,485271,809530,344386,1.6682018913143377,81.05297658421789,491980
dea.gov,478562,1082355,377930,2.2616818719413576,111.9299233955057,480798
rd.usda.gov,475208,1443513,284006,3.0376445682732616,216.96690712277572,479680
teas.uspto.gov,474090,5266419,74915,11.108479402645067,483.37216351325696,381284
nidcd.nih.gov,470735,703307,390229,1.4940614145963227,78.28268133875747,470735
search.cms.gov,467381,849783,248226,1.818180456629602,64.86120531215433,428246
vacareers.va.gov,466263,655228,404765,1.4052755633623084,54.68100621323159,461790
e-verify.gov,465144,963833,320905,2.0721174517998726,86.19238988356294,464026
my.americorps.gov,453963,3827378,215800,8.43103512841355,421.6109198326736,453963
usembassy.gov,453963,1042102,422655,2.2955659381932008,131.39904133156227,471853
acf.hhs.gov,452845,920226,345504,2.0320992834192717,128.86665415318708,447254
usmint.gov,452845,930289,286243,2.0543210149168036,134.07159182501738,419301
nlm.nih.gov,438309,868791,361158,1.9821427349198852,219.08937986671503,395820
home.treasury.gov,434955,638455,307487,1.4678644917290293,72.22104355622996,405883
passportappointment.travel.state.gov,431600,1682794,279534,3.898966635773865,193.7255560704356,398056
mcrc.marines.mil,421537,575840,39135,1.3660485319200923,160.37671663460148,417065
fhfa.gov,418183,562422,381284,1.3449183730567718,30.810142927856944,418183
login.gov,412592,1299274,417065,3.1490528173110484,180.01628970023654,483035
atf.gov,409238,1039866,278416,2.5409810428161608,135.45617220297234,409238
health.mil,409238,688772,234808,1.6830597354106902,99.17478093432183,405883
ahrq.gov,407001,818475,327614,2.0109901449873586,109.89296340795231,405883
br.usembassy.gov,395820,1148325,234808,2.901129301197514,208.96046940528524,391347
ed.gov,394702,641810,326496,1.6260621937563022,70.12179568383236,407001
ada.gov,391347,692126,281770,1.7685736699144237,106.10013364098869,396938
